bit_index,pixel_y,pixel_x,sample_value,threshold,bit
344,1400,56,28,45,0
345,1400,108,48,45,1
346,1400,160,52,45,1
347,1400,212,71,45,1
348,1400,264,57,45,1
349,1400,316,77,45,1
350,1400,368,94,45,1
351,1400,420,108,45,1
352,1430,56,72,45,1
353,1430,108,62,45,1
354,1430,160,84,45,1
355,1430,212,62,45,1
356,1430,264,87,45,1
357,1430,316,80,45,1
358,1430,368,103,45,1
359,1430,420,120,45,1
360,1460,56,33,45,0
361,1460,108,86,45,1
362,1460,160,41,45,0
363,1460,212,81,45,1
364,1460,264,91,45,1
365,1460,316,92,45,1
366,1460,368,95,45,1
367,1460,420,102,45,1
368,1490,56,51,45,1
369,1490,108,74,45,1
370,1490,160,79,45,1
371,1490,212,93,45,1
372,1490,264,63,45,1
373,1490,316,95,45,1
374,1490,368,106,45,1
375,1490,420,121,45,1
376,1520,56,56,45,1
377,1520,108,61,45,1
378,1520,160,45,45,0
379,1520,212,78,45,1
380,1520,264,71,45,1
381,1520,316,91,45,1
382,1520,368,111,45,1
383,1520,420,95,45,1
384,1550,56,27,45,0
385,1550,108,56,45,1
386,1550,160,46,45,1
387,1550,212,87,45,1
388,1550,264,70,45,1
389,1550,316,87,45,1
390,1550,368,84,45,1
391,1550,420,109,45,1
392,1580,56,21,45,0
393,1580,108,25,45,0
394,1580,160,42,45,0
395,1580,212,57,45,1
396,1580,264,69,45,1
397,1580,316,84,45,1
398,1580,368,105,45,1
399,1580,420,106,45,1
400,1610,56,19,45,0
401,1610,108,25,45,0
402,1610,160,36,45,0
403,1610,212,60,45,1
404,1610,264,62,45,1
405,1610,316,79,45,1
406,1610,368,98,45,1
407,1610,420,107,45,1
408,1640,56,21,45,0
409,1640,108,25,45,0
410,1640,160,33,45,0
411,1640,212,47,45,1
412,1640,264,54,45,1
413,1640,316,80,45,1
414,1640,368,95,45,1
415,1640,420,99,45,1
